Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Agamenon Magalhães,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.",Avenida Agamenon Magalhães,Paulo Guerra,Carlos de Lima Cavalcanti,Etelvino Lins,Barbosa Lima Sobrinho,,,,,,,,,,
Alfredo Lisboa,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.""",Avenida Alfredo Lisboa,Porto do Recife,,,,,,,,,,,,,
Alvaro Lins,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.""",Faculdade de Direito do Recife,Mario Melo,,,,,,,,,,,,,
Amaury de Medeiros,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.",Sergio Loreto,,,,,,,,,,,,,,
Anibal Fernandes,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.""",Diario de Pernambuco,Praça da Indepedencia,Mario Melo,Sergio Loreto,Democrito de Souza Filho,,,,,,,,,,
Antonio de Goes,Personagem,,,https://www.zumba.com/img/application/silhouette-green.png,"""Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean non nunc purus. Mauris non ornare felis. Maecenas et consequat erat, sed vulputate dolor. Nullam dictum nisl vitae est blandit, vitae vehicula dolor tempus. Duis at magna leo. Duis in arcu lobortis, maximus eros vel, rhoncus sem. Aliquam commodo nec sem vel tincidunt. Curabitur luctus ex quis tincidunt rutrum. Sed molestie aliquet mauris sed aliquet. Nam auctor dignissim volutpat. Sed vel nisl a lectus accumsan hendrerit. Phasellus ut congue eros.""",Palácio do Campo das Princesas,Mercado da Madalena,Aderbal Jurema,Ponte Duarte Coelho,Ponte da Capunga,Ariano Suassuna,Francisco do Rego Barros,,,,,,,,
Antonio Fárias,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Prefeitura do Recife,João Gabriel,,,,,,,,,,,,,
Antonio Fernandes de Mattos,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Capela Dourada,,,,,,,,,,,,,,
Antonio Silvino,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Casa da Cultura,Cangaço,,,,,,,,,,,,,
Ariano Suassuna,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Avenida 17 de Agosto,Antonio de Goes,Academia Pernambucana de Letras,,,,,,,,,,,,
Arquivo Publico,Local,Biblioteca,Santo Antonio,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Rua do Imperador,Restaurante Dom Pedro,Gabinete Português de Leitura,,,,,,,,,,,,
Arsenal da Marinha,Local,Praça,Recife Antigo,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Porto do Recife,Praça do Arsenal,Rua do Bom Jesus,Barreto de Menezes,Praça do Arsenal,Frei Caneca,,,,,,,,,
Assis Chateaubriand,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Diario de Pernambuco,Praça da Indepedencia,,,,,,,,,,,,,
Augusto Lucena,Personagem,,,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Prefeitura do Recife,Avenida Caxangá,Praça do Carmo,Avenida Dantas Barreto,Ponte Princesa Isabel,Rua Nova,,,,,,,,,
Avenida 17 de Agosto,Local,Logradouro,Casa Forte,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",União Brasileira do Escritores,Praça de Casa Forte,Ariano Suassuna,Museu do Homem do Nordeste,,,,,,,,,,,
Avenida Agamenon Magalhães,Local,Logradouro,Boa Vista,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Igreja da Capunga,Colégio Americano Batista,Hospital da Restauração,Polo Médico,Hospital Portugues,Agamenon Magalhães,Praça do Entrocamento,Augusto Lucena,,,,,,,
Avenida Barão de Souza Leão,Local,Logradouro,Boa Viagem,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Barão de Souza Leão,,,,,,,,,,,,,,
Avenida Barbosa Lima,Local,Logradouro,Recife Antigo,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Barbosa Lima,Rua do Bom Jesus,Rua da Guia,Rua do Apolo,,,,,,,,,,,
Avenida Boa Viagem,Local,Logradouro,Boa Vista,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",1 Jardim de Boa Viagem,2 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Sergio Loreto,,,,,,,,,,,
Avenida Caxangá,Local,Logradouro,Madalena,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Novaes Filho,Sitio do Valença,Museu da Abolição( Casarão de João Alfredo),,Augusto Lucena,,,,,,,,,,
Avenida Dantas Barreto,Local,Logradouro,São José,https://st2.depositphotos.com/2274151/6490/i/450/depositphotos_64900007-stock-photo-zumba-grunge-violet-seal-isolated.jpg,"In ullamcorper, felis vitae mattis semper, sapien sem vulputate nunc, a interdum tortor turpis a mauris. Donec posuere mauris ac lectus tempus laoreet. Nullam eu metus quis sapien pharetra gravida. Maecenas eu nibh vel ex tincidunt rutrum dignissim sit amet urna. Praesent ante augue, tempus eu nibh at, viverra fringilla dolor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse dignissim erat felis, in tincidunt turpis dignissim vitae. Cras pulvinar tempus nibh vitae eleifend. Aliquam volutpat vehicula dapibus. Mauris in tincidunt mi. Sed a dui felis. Mauris ut odio quis lacus vulputate ullamcorper. Curabitur leo velit, mollis non dui sit amet, placerat accumsan nibh. Aenean mattis augue ac mollis fermentum. Donec id volutpat nibh. Mauris et urna at urna fringilla suscipit.",Dantas Barreto,Pelopidas Silveira,Revolução de 1817,Augusto Lucena,Camelodromo,Patio de São Pedro,Praça da Indepedencia,,,,,,,,
